started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-01 09:23:44.160000+00:00,2021-08-01 09:30:59.610000+00:00,435,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-08-01 09:29:27.865000+00:00,2021-08-01 09:52:18.499000+00:00,1370,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2021-08-01 09:37:14.108000+00:00,2021-08-01 09:50:14.694000+00:00,780,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298
2021-08-01 09:37:51.025000+00:00,2021-08-01 10:12:58.316000+00:00,2107,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808
2021-08-01 09:44:08.472000+00:00,2021-08-01 10:30:44.909000+00:00,2796,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-08-01 09:46:29.077000+00:00,2021-08-01 09:59:57.048000+00:00,807,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543
2021-08-01 09:55:04.875000+00:00,2021-08-01 10:05:59.951000+00:00,655,1050,EICC,Outside Edinburgh International Conference Centre,55.94607055533778,-3.2103963310007657,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438
2021-08-01 09:55:06.703000+00:00,2021-08-01 10:04:26.480000+00:00,559,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184,1019,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126005
2021-08-01 09:56:40.244000+00:00,2021-08-01 10:15:17.300000+00:00,1117,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 09:57:13.995000+00:00,2021-08-01 10:11:27.872000+00:00,853,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-01 09:59:54.851000+00:00,2021-08-01 10:31:41.269000+00:00,1906,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 10:04:08.490000+00:00,2021-08-01 10:59:35.537000+00:00,3327,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904
