,build,bikes,desire
193,0,0,12.595135568678597
194,0,0,3.0575466419536648
195,1,25,24.072606368293627
196,0,0,0.9179626194227882
197,0,0,3.8730578190375406
198,1,4,11.743901117415588
199,0,0,5.849861479091951
200,0,0,3.8657421040607267
201,0,0,16.758189255786842
202,0,0,0.5267978905067784
203,0,0,1.1393526318382365
204,0,0,1.2371345397899047
205,0,0,33.37421813261938
206,0,0,6.285155597257298
207,0,0,1.5132625585139867
208,0,0,8.711127893770366
209,0,0,4.88323608596327
210,0,0,0.9395642480348441
211,0,0,6.56763081792909
212,0,0,0.4826150285870907
213,1,21,20.173815972109967
214,1,30,74.5672744973199
215,0,0,6.293527705136653
216,0,0,3.584755606290594
217,0,0,2.9558166998210966
218,0,0,4.518990515911135
219,0,0,3.556297087484629
220,0,0,5.289436218783326
