,year,local_authority_id,pedal_cycles,longitude,latitude,geometry
12260,2023,29,147,-3.20194823,55.8938479,POINT (-356439.2465100236 7537312.732265221)
12261,2024,29,138,-3.20194823,55.8938479,POINT (-356439.2465100236 7537312.732265221)
12750,2018,29,311,-3.16930266,55.93549504,POINT (-352805.15828096744 7545585.244963778)
12751,2019,29,342,-3.16930266,55.93549504,POINT (-352805.15828096744 7545585.244963778)
12754,2022,29,285,-3.16930266,55.93549504,POINT (-352805.15828096744 7545585.244963778)
12755,2023,29,281,-3.16930266,55.93549504,POINT (-352805.15828096744 7545585.244963778)
12756,2024,29,284,-3.16930266,55.93549504,POINT (-352805.15828096744 7545585.244963778)
12820,2018,29,225,-3.24828393,55.93247431,POINT (-361597.3130395735 7544984.928112193)
12821,2019,29,247,-3.24828393,55.93247431,POINT (-361597.3130395735 7544984.928112193)
12824,2022,29,206,-3.24828393,55.93247431,POINT (-361597.3130395735 7544984.928112193)
12825,2023,29,203,-3.24828393,55.93247431,POINT (-361597.3130395735 7544984.928112193)
12826,2024,29,205,-3.24828393,55.93247431,POINT (-361597.3130395735 7544984.928112193)
15444,2018,29,547,-3.1792438,55.96235637,POINT (-353911.8009236721 7550925.52082026)
15445,2019,29,600,-3.1792438,55.96235637,POINT (-353911.8009236721 7550925.52082026)
15466,2018,29,164,-3.20325065,55.97200814,POINT (-356584.2312412226 7552845.285340987)
15467,2019,29,180,-3.20325065,55.97200814,POINT (-356584.2312412226 7552845.285340987)
15470,2022,29,147,-3.20325065,55.97200814,POINT (-356584.2312412226 7552845.285340987)
15471,2023,29,144,-3.20325065,55.97200814,POINT (-356584.2312412226 7552845.285340987)
15472,2024,29,146,-3.20325065,55.97200814,POINT (-356584.2312412226 7552845.285340987)
16564,2018,29,132,-3.12111692,55.90215827,POINT (-347441.14624067035 7538962.739758607)
16565,2019,29,160,-3.12111692,55.90215827,POINT (-347441.14624067035 7538962.739758607)
16568,2022,29,149,-3.12111692,55.90215827,POINT (-347441.14624067035 7538962.739758607)
16569,2023,29,141,-3.12111692,55.90215827,POINT (-347441.14624067035 7538962.739758607)
16570,2024,29,136,-3.12111692,55.90215827,POINT (-347441.14624067035 7538962.739758607)
16675,2018,29,0,-3.21857142,55.89871622,POINT (-358289.7315561834 7538279.284672122)
18135,2018,29,276,-3.16112234,55.95632856,POINT (-351894.5292240414 7549726.815118405)
18136,2019,29,303,-3.16112234,55.95632856,POINT (-351894.5292240414 7549726.815118405)
18139,2022,29,253,-3.16112234,55.95632856,POINT (-351894.5292240414 7549726.815118405)
18140,2023,29,249,-3.16112234,55.95632856,POINT (-351894.5292240414 7549726.815118405)
18141,2024,29,252,-3.16112234,55.95632856,POINT (-351894.5292240414 7549726.815118405)
18240,2018,29,320,-3.26637387,55.94235299,POINT (-363611.0759488543 7546948.315453007)
18241,2019,29,352,-3.26637387,55.94235299,POINT (-363611.0759488543 7546948.315453007)
18244,2022,29,289,-3.26637387,55.94235299,POINT (-363611.0759488543 7546948.315453007)
18245,2023,29,285,-3.26637387,55.94235299,POINT (-363611.0759488543 7546948.315453007)
18246,2024,29,288,-3.26637387,55.94235299,POINT (-363611.0759488543 7546948.315453007)
18340,2018,36,42,-3.11503304,55.9130859,POINT (-346763.891817023 7541132.937163069)
18341,2019,36,50,-3.11503304,55.9130859,POINT (-346763.891817023 7541132.937163069)
18344,2022,36,47,-3.11503304,55.9130859,POINT (-346763.891817023 7541132.937163069)
18345,2023,36,45,-3.11503304,55.9130859,POINT (-346763.891817023 7541132.937163069)
18346,2024,36,43,-3.11503304,55.9130859,POINT (-346763.891817023 7541132.937163069)
18365,2018,29,93,-3.31438629,55.89449581,POINT (-368955.7940950071 7537441.360808546)
18366,2019,29,102,-3.31438629,55.89449581,POINT (-368955.7940950071 7537441.360808546)
18369,2022,29,123,-3.31438629,55.89449581,POINT (-368955.7940950071 7537441.360808546)
18370,2023,29,121,-3.31438629,55.89449581,POINT (-368955.7940950071 7537441.360808546)
18371,2024,29,122,-3.31438629,55.89449581,POINT (-368955.7940950071 7537441.360808546)
18702,2018,29,117,-3.24280606,55.95634076,POINT (-360987.51934054174 7549729.2410530625)
18703,2019,29,129,-3.24280606,55.95634076,POINT (-360987.51934054174 7549729.2410530625)
18706,2022,29,69,-3.2432864,55.95633591,POINT (-361040.99054474937 7549728.2766445195)
18707,2023,29,68,-3.2432864,55.95633591,POINT (-361040.99054474937 7549728.2766445195)
18708,2024,29,69,-3.2432864,55.95633591,POINT (-361040.99054474937 7549728.2766445195)
19185,2018,29,154,-3.17618392,55.97766043,POINT (-353571.17664018355 7553969.76428572)
19186,2019,29,169,-3.17618392,55.97766043,POINT (-353571.17664018355 7553969.76428572)
19189,2022,29,142,-3.17618392,55.97766043,POINT (-353571.17664018355 7553969.76428572)
19190,2023,29,139,-3.17618392,55.97766043,POINT (-353571.17664018355 7553969.76428572)
19191,2024,29,141,-3.17618392,55.97766043,POINT (-353571.17664018355 7553969.76428572)
19281,2018,36,95,-3.17619912,55.87253162,POINT (-353572.8686964436 7533082.042291614)
19282,2019,36,115,-3.17619912,55.87253162,POINT (-353572.8686964436 7533082.042291614)
19285,2022,36,122,-3.17619912,55.87253162,POINT (-353572.8686964436 7533082.042291614)
19286,2023,36,116,-3.17619912,55.87253162,POINT (-353572.8686964436 7533082.042291614)
19287,2024,36,111,-3.17619912,55.87253162,POINT (-353572.8686964436 7533082.042291614)
20983,2018,29,93,-3.20350163,55.98009226,POINT (-356612.1702070219 7554453.608426861)
20984,2019,29,102,-3.20350163,55.98009226,POINT (-356612.1702070219 7554453.608426861)
20987,2022,29,86,-3.20350163,55.98009226,POINT (-356612.1702070219 7554453.608426861)
20988,2023,29,84,-3.20350163,55.98009226,POINT (-356612.1702070219 7554453.608426861)
20989,2024,29,85,-3.20350163,55.98009226,POINT (-356612.1702070219 7554453.608426861)
21915,2018,36,75,-3.07475911,55.89142987,POINT (-342280.6184371791 7536832.703574554)
21916,2019,36,82,-3.07475911,55.89142987,POINT (-342280.6184371791 7536832.703574554)
21919,2022,36,69,-3.07475911,55.89142987,POINT (-342280.6184371791 7536832.703574554)
21920,2023,36,67,-3.07475911,55.89142987,POINT (-342280.6184371791 7536832.703574554)
21921,2024,36,68,-3.07475911,55.89142987,POINT (-342280.6184371791 7536832.703574554)
21965,2018,29,60,-3.11473129,55.93600123,POINT (-346730.3011606761 7545685.845884495)
21966,2019,29,66,-3.11473129,55.93600123,POINT (-346730.3011606761 7545685.845884495)
21969,2022,29,55,-3.11473129,55.93600123,POINT (-346730.3011606761 7545685.845884495)
21970,2023,29,54,-3.11473129,55.93600123,POINT (-346730.3011606761 7545685.845884495)
21971,2024,29,54,-3.11473129,55.93600123,POINT (-346730.3011606761 7545685.845884495)
22090,2018,29,238,-3.18624336,55.93982626,POINT (-354690.98837864905 7546446.080287479)
22091,2019,29,415,-3.1862729,55.93974511,POINT (-354694.2767564071 7546429.950739946)
22094,2022,29,347,-3.1862729,55.93974511,POINT (-354694.2767564071 7546429.950739946)
22095,2023,29,341,-3.1862729,55.93974511,POINT (-354694.2767564071 7546429.950739946)
22096,2024,29,345,-3.1862729,55.93974511,POINT (-354694.2767564071 7546429.950739946)
23339,2018,29,338,-3.169913,55.92919947,POINT (-352873.1010189782 7544334.16424905)
23340,2019,29,371,-3.169913,55.92919947,POINT (-352873.1010189782 7544334.16424905)
23343,2022,29,310,-3.169913,55.92919947,POINT (-352873.1010189782 7544334.16424905)
23344,2023,29,305,-3.169913,55.92919947,POINT (-352873.1010189782 7544334.16424905)
23345,2024,29,308,-3.169913,55.92919947,POINT (-352873.1010189782 7544334.16424905)
23453,2018,29,333,-3.20259615,55.95089953,POINT (-356511.3726344984 7548647.344093916)
23454,2019,29,365,-3.20259615,55.95089953,POINT (-356511.3726344984 7548647.344093916)
23457,2022,29,305,-3.20259615,55.95089953,POINT (-356511.3726344984 7548647.344093916)
23458,2023,29,300,-3.20259615,55.95089953,POINT (-356511.3726344984 7548647.344093916)
23459,2024,29,304,-3.20259615,55.95089953,POINT (-356511.3726344984 7548647.344093916)
23553,2018,29,305,-3.15217885,55.92487404,POINT (-350898.94447132666 7543474.715388548)
23554,2019,29,335,-3.15217885,55.92487404,POINT (-350898.94447132666 7543474.715388548)
23557,2022,29,280,-3.15217885,55.92487404,POINT (-350898.94447132666 7543474.715388548)
23558,2023,29,276,-3.15217885,55.92487404,POINT (-350898.94447132666 7543474.715388548)
23559,2024,29,279,-3.15217885,55.92487404,POINT (-350898.94447132666 7543474.715388548)
24023,2018,29,34,-3.30381063,55.96056131,POINT (-367778.51700900437 7550568.531081868)
24024,2019,29,37,-3.30381063,55.96056131,POINT (-367778.51700900437 7550568.531081868)
24027,2022,29,31,-3.30381063,55.96056131,POINT (-367778.51700900437 7550568.531081868)
24028,2023,29,31,-3.30381063,55.96056131,POINT (-367778.51700900437 7550568.531081868)
24029,2024,29,31,-3.30381063,55.96056131,POINT (-367778.51700900437 7550568.531081868)
24542,2018,29,665,-3.20652854,55.94861484,POINT (-356949.12428689894 7548193.117283302)
24543,2019,29,730,-3.20652854,55.94861484,POINT (-356949.12428689894 7548193.117283302)
24546,2022,29,911,-3.20652854,55.94861484,POINT (-356949.12428689894 7548193.117283302)
24547,2023,29,896,-3.20652854,55.94861484,POINT (-356949.12428689894 7548193.117283302)
24548,2024,29,906,-3.20652854,55.94861484,POINT (-356949.12428689894 7548193.117283302)
26140,2018,29,99,-3.16913263,55.97233633,POINT (-352786.23062794784 7552910.571685081)
26141,2019,29,109,-3.16913263,55.97233633,POINT (-352786.23062794784 7552910.571685081)
26144,2022,29,91,-3.16913263,55.97233633,POINT (-352786.23062794784 7552910.571685081)
26145,2023,29,90,-3.16913263,55.97233633,POINT (-352786.23062794784 7552910.571685081)
27158,2018,29,53,-3.12204078,55.93413775,POINT (-347543.98986543465 7545315.501705816)
27159,2019,29,123,-3.12204078,55.93413775,POINT (-347543.98986543465 7545315.501705816)
27162,2022,29,103,-3.12204078,55.93413775,POINT (-347543.98986543465 7545315.501705816)
27163,2023,29,101,-3.12204078,55.93413775,POINT (-347543.98986543465 7545315.501705816)
27164,2024,29,102,-3.12204078,55.93413775,POINT (-347543.98986543465 7545315.501705816)
27644,2018,29,153,-3.15356492,55.91767279,POINT (-351053.2410779305 7542044.063212968)
27645,2019,29,168,-3.15356492,55.91767279,POINT (-351053.2410779305 7542044.063212968)
27648,2022,29,141,-3.15356492,55.91767279,POINT (-351053.2410779305 7542044.063212968)
27649,2023,29,138,-3.15356492,55.91767279,POINT (-351053.2410779305 7542044.063212968)
27650,2024,29,140,-3.15356492,55.91767279,POINT (-351053.2410779305 7542044.063212968)
28258,2018,29,359,-3.21684925,55.94581791,POINT (-358098.020468724 7547637.086822655)
28259,2019,29,395,-3.21684925,55.94581791,POINT (-358098.020468724 7547637.086822655)
